"COUB","Country of birth","FBORN","Place of birth","EDU","Education level","AGE","Age","NAT","Citizenship","COU","Country of residence","Value","Flag Codes","Flags"
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","2","Citizen of another country","FRA","France",191746,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",446162,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",637908,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","2","Citizen of another country","FRA","France",191746,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",446162,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",637908,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","2","Citizen of another country","FRA","France",581385,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",430810,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",1012195,,
"AFRI","Africa","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","2","Citizen of another country","FRA","France",581385,,
"AFRI","Africa","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",430810,,
"AFRI","Africa","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",1012195,,
"AFRI","Africa","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","2","Citizen of another country","FRA","France",107096,,
"AFRI","Africa","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",326939,,
"AFRI","Africa","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",434035,,
"AFRI","Africa","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","2","Citizen of another country","FRA","France",107096,,
"AFRI","Africa","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",326939,,
"AFRI","Africa","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",434035,,
"AFRI","Africa","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","2","Citizen of another country","FRA","France",880227,,
"AFRI","Africa","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",1203911,,
"AFRI","Africa","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",2084138,,
"AFRI","Africa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","2","Citizen of another country","FRA","France",880227,,
"AFRI","Africa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",1203911,,
"AFRI","Africa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",2084138,,
"ASIA","Asia","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","2","Citizen of another country","FRA","France",28019,,
"ASIA","Asia","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",64906,,
"ASIA","Asia","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",92925,,
"ASIA","Asia","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","2","Citizen of another country","FRA","France",28019,,
"ASIA","Asia","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",64906,,
"ASIA","Asia","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",92925,,
"ASIA","Asia","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","2","Citizen of another country","FRA","France",61151,,
"ASIA","Asia","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",65477,,
"ASIA","Asia","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",126628,,
"ASIA","Asia","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","2","Citizen of another country","FRA","France",61151,,
"ASIA","Asia","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",65477,,
"ASIA","Asia","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",126628,,
"ASIA","Asia","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","2","Citizen of another country","FRA","France",40783,,
"ASIA","Asia","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",70774,,
"ASIA","Asia","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",111557,,
"ASIA","Asia","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","2","Citizen of another country","FRA","France",40783,,
"ASIA","Asia","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",70774,,
"ASIA","Asia","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",111557,,
"ASIA","Asia","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","2","Citizen of another country","FRA","France",129953,,
"ASIA","Asia","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",201157,,
"ASIA","Asia","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",331110,,
"ASIA","Asia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","2","Citizen of another country","FRA","France",129953,,
"ASIA","Asia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",201157,,
"ASIA","Asia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",331110,,
"EURO","Europe","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","2","Citizen of another country","FRA","France",226716,,
